,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
538,the,the,the,539,60,7,Verse 3,12,104,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954,-0.9954,5,0.09615384615384616,0.9636,84,0.4772727272727273,9.239091,-15.328024
539,"next,",next,next,540,60,7,Verse 3,12,105,1,1,1,[540],"[('next', 'JJ')]",ADJ,POSITIVE,0.9865,"['immediately adjacent (as in place, rank, or time)', 'any other considered hypothetically']","[['coming', 'ensuing', 'following', 'succeeding']]",[],"[['antecedent', 'foregoing', 'precedent', 'preceding', 'previous', 'prior']]",[], gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954,-0.9954,5,0.09615384615384616,0.9865,110,0.625,11.657894,21.770227
540,son,son,son,541,60,7,Verse 3,12,106,1,1,1,[541],"[('son', 'NN')]",N,POSITIVE,0.9942,"['a human male offspring especially of human beings', 'a male adopted child', 'a human male descendant']","[['daughter', 'by-product', 'derivative', 'offshoot', 'outgrowth', 'spin-off', 'descendant'], ['child', 'heir', 'inheritor', 'successor', 'offspring', 'issue', 'posterity', 'progeny', 'seed']]",[],"[['ancestor', 'antecedent', 'archetype', 'daddy', 'foregoer', 'forerunner', 'granddaddy', 'precursor', 'predecessor', 'prototype', 'model', 'original', 'originator', 'sire'], ['ancestry', 'birth', 'blood', 'bloodline', 'breeding', 'descent', 'extraction', 'family tree', 'genealogy', 'line', 'lineage', 'origin', 'parentage', 'pedigree', 'stock', 'strain', 'heredity', 'succession', 'family', 'house']]","['daddy', 'line']", gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954,-0.9954,5,0.09615384615384616,0.9942,135,0.7670454545454546,-9.233746,10.461605
541,Throughout,Throughout,throughout,542,61,7,Verse 3,13,107,1,1,1,[542],"[('throughout', 'IN')]",PREP,POSITIVE,0.9917,"['all the way from one end to the other of : in or to every part of', 'during the whole course or period of']","[['about', 'across', 'around', 'over', 'round', 'through'], ['amid', 'by', 'during', 'over', 'pending', 'through']]",[],[],[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9917,123,0.6988636363636364,11.315416,-7.1548524
542,life,life,life,543,61,7,Verse 3,13,108,4,4,4,"[145, 173, 499, 543]","[('life', 'NN')]",N,POSITIVE,0.9965,"['the quality that distinguishes a vital and functional being from a dead body', 'a principle or force that is considered to underlie the distinctive quality of animate beings', 'an organismic state characterized by capacity for metabolism, growth, reaction to stimuli, and reproduction']","[['bio', 'biography', 'memoir'], ['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['beans', 'bounce', 'brio', 'dash', 'drive', 'dynamism', 'energy', 'esprit', 'gas', 'get-up-and-go', 'ginger', 'go', 'gusto', 'hardihood', 'juice', 'moxie', 'oomph', 'pep', 'punch', 'sap', 'snap', 'starch', 'verve', 'vigor', 'vim', 'vinegar', 'vitality', 'zing', 'zip'], ['continuance', 'date', 'duration', 'life span', 'lifetime', 'run', 'standing', 'time'], ['civilization', 'culture', 'lifestyle', 'society']]","['baby', 'head', 'man', 'go', 'standing', 'time']","[['lethargy', 'listlessness', 'sluggishness', 'torpidity']]",[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9965,147,0.8352272727272727,-14.812085,5.1953597
543,people,people,people,544,61,7,Verse 3,13,109,2,2,2,"[92, 544]","[('people', 'NNS')]",N,POSITIVE,0.9852,"['human beings making up a group or assembly or linked by a common interest', 'human beings, persons —often used in compounds instead of persons —often used attributively', 'the members of a family or kinship']","[['folks', 'humanity', 'humankind', 'public', 'species', 'world'], ['commoners', 'commons', 'crowd', 'herd', 'hoi polloi', 'mass', 'millions', 'mob', 'multitude', 'plebeians', 'plebs', 'populace', 'public', 'rank and file'], ['blood', 'clan', 'family', 'folks', 'house', 'kin', 'kindred', 'kinfolk', 'kinsfolk', 'line', 'lineage', 'race', 'stock', 'tribe']]","['world', 'line']","[['A-list', 'aristocracy', 'best', 'choice', ""corps d'elite"", 'cream', 'elect', 'elite', 'fat', 'flower', 'pick', 'pink', 'pride', 'upper crust']]",[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9852,106,0.6022727272727273,-13.925514,7.155386
544,will,will,will,545,61,7,Verse 3,13,110,4,4,4,"[276, 321, 545, 568]","[('will', 'MD')]",V,POSITIVE,0.9997,"['—used to express futurity', '—used to express desire, choice, willingness, consent, or in negative constructions refusal', '—used to express a command, exhortation, or injunction']","[['bequeath', 'leave'], ['choose', 'like', 'please', 'want', 'wish']]","['choose', 'like', 'please']",[],[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9997,174,0.9886363636363636,8.671986,-3.4273093
545,make,make,make,546,61,7,Verse 3,13,111,4,1,1,"[183, 403, 546, 611]","[('make', 'VB')]",V,POSITIVE,0.9996,"['to bring into being by forming, shaping, or altering material : fashion', 'to lay out and construct', 'compose, write']","[['fabricate', 'fashion', 'form', 'frame', 'manufacture', 'produce'], ['achieve', 'attain', 'bag', 'chalk up', 'clock (up)', 'gain', 'hit', 'log', 'notch (up)', 'rack up', 'ring up', 'score', 'win'], ['beget', 'breed', 'bring', 'bring about', 'bring on', 'catalyze', 'cause', 'create', 'do', 'draw on', 'effect', 'effectuate', 'engender', 'generate', 'induce', 'invoke', 'occasion', 'produce', 'prompt', 'result (in)', 'spawn', 'translate (into)', 'work', 'yield'], ['accomplish', 'achieve', 'bring off', 'carry off', 'carry out', 'commit', 'compass', 'do', 'execute', 'follow through (with)', 'fulfill', 'negotiate', 'perform', 'perpetrate', 'prosecute', 'pull off', 'put through'], ['blackjack', 'coerce', 'compel', 'constrain', 'dragoon', 'drive', 'force', 'impel', 'impress', 'muscle', 'obligate', 'oblige', 'press', 'pressure', 'sandbag'], ['calculate', 'call', 'conjecture', 'estimate', 'figure', 'gauge', 'guess', 'judge', 'place', 'put', 'reckon', 'suppose'], ['assemble', 'build', 'confect', 'construct', 'erect', 'fabricate', 'make up', 'piece', 'put up', 'raise', 'rear', 'set up'], ['act', 'appear', 'come across (as)', 'come off (as)', 'feel', 'look', 'seem', 'sound'], ['bear', 'head'], ['constitute', 'enact', 'lay down', 'legislate', 'ordain', 'pass'], ['acquire', 'attain', 'bag', 'bring in', 'capture', 'carry', 'come by', 'draw', 'earn', 'gain', 'garner', 'get', 'knock down', 'land', 'obtain', 'procure', 'pull down', 'realize', 'reap', 'secure', 'win'], ['appreciate', 'apprehend', 'assimilate', 'behold', 'catch', 'catch on (to)', 'cognize', 'compass', 'comprehend', 'conceive', 'cotton (to or on to)', 'decipher', 'decode', 'dig', 'discern', 'get', 'grasp', 'grok', 'intuit', 'know', 'make out', 'perceive', 'recognize', 'register', 'savvy', 'see', 'seize', 'sense', 'tumble (to)', 'twig', 'understand'], ['close', 'shut', 'steek']]","['do', 'work', 'place', 'feel', 'look', 'head', 'get', 'know', 'see']","[['demount', 'disassemble', 'dismantle', 'dismember', 'knock down', 'strike', 'take down', 'tear down'], ['repeal', 'rescind', 'revoke'], ['forfeit', 'lose'], ['miss'], ['open']]",['lose'], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9996,173,0.9829545454545454,-2.8429964,-10.825406
546,you,you,you,547,61,7,Verse 3,13,112,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,0.9991,168,0.9545454545454546,-38.22073,5.6390314
547,mad,mad,mad,548,61,7,Verse 3,13,113,1,1,1,[548],"[('mad', 'NN')]",N,NEGATIVE,0.9996,"['arising from, indicative of, or marked by mental disorder —not used technically', 'completely unrestrained by reason and judgment : unable to think in a clear or sensible way', 'incapable of being explained or accounted for']","[['angered', 'angry', 'apoplectic', 'ballistic', 'cheesed off', 'choleric', 'enraged', 'foaming', 'fuming', 'furious', 'hopping', 'horn-mad', 'hot', 'incensed', 'indignant', 'inflamed', 'infuriate', 'infuriated', 'irate', 'ireful', 'livid', 'outraged', 'rabid', 'rankled', 'riled', 'riley', 'roiled', 'shirty', 'sore', 'steamed up', 'steaming', 'teed off', 'ticked', 'wrathful', 'wroth'], ['balmy', 'barmy', 'bats', 'batty', 'bedlam', 'bonkers', 'brainsick', 'bughouse', 'certifiable', 'crackbrained', 'cracked', 'crackers', 'crackpot', 'cranky', 'crazed', 'crazy', 'cuckoo', 'daffy', 'daft', 'demented', 'deranged', 'fruity', 'gaga', 'haywire', 'insane', 'kooky', 'loco', 'loony', 'loony tunes', 'lunatic', 'maniacal', 'mental', 'meshuga', 'moonstruck', 'non compos mentis', 'nuts', 'nutty', 'psycho', 'psychotic', 'scatty', 'screwy', 'unbalanced', 'unhinged', 'unsound', 'wacko', 'wacky', 'wud'], ['delirious', 'ferocious', 'feverish', 'fierce', 'frantic', 'frenetic', 'frenzied', 'furious', 'rabid', 'violent', 'wild'], ['absurd', 'asinine', 'balmy', 'brainless', 'bubbleheaded', 'cockeyed', 'crackpot', 'crazy', 'cuckoo', 'daffy', 'daft', 'dippy', 'dotty', 'fatuous', 'featherheaded', 'fool', 'foolish', 'half-baked', 'half-witted', 'harebrained', 'inept', 'insane', 'jerky', 'kooky', 'loony', 'lunatic', 'lunkheaded', 'nonsensical', 'nutty', 'preposterous', 'sappy', 'screwball', 'senseless', 'silly', 'simpleminded', 'stupid', 'tomfool', 'unwise', 'wacky', 'weak-minded', 'witless', 'zany']]",['crazy'],"[['angerless', 'delighted', 'pleased'], ['balanced', 'compos mentis', 'sane', 'sound', 'uncrazy'], ['relaxed'], ['judicious', 'prudent', 'sagacious', 'sage', 'sane', 'sapient', 'sensible', 'sound', 'wise']]",[], throughout life people will make you mad,NEGATIVE,0.9937,-0.9937,8,0.15384615384615385,-0.9996,2,0.011363636363636364,-3.1738577,4.5093446
548,Disrespect,Disrespect,disrespect,549,62,7,Verse 3,14,114,1,1,1,[549],"[('disrespect', 'NN')]",N,NEGATIVE,0.9995,"['to lack special regard or respect for : to have disrespect for', 'to show or express disrespect or contempt for : insult, dis']","[['dis', 'discourteousness', 'discourtesy', 'disrespectfulness', 'impertinence', 'impertinency', 'impoliteness', 'impudence', 'incivility', 'inconsiderateness', 'inconsideration', 'insolence', 'rudeness', 'ungraciousness']]",[],"[['civility', 'considerateness', 'consideration', 'courtesy', 'genteelness', 'gentility', 'graciousness', 'politeness', 'politesse', 'thoughtfulness']]",[], disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,-0.9995,3,0.017045454545454544,-3.655189,9.292763
549,you,you,you,550,62,7,Verse 3,14,115,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,0.9991,168,0.9545454545454546,-38.41569,4.7329516
550,and,and,and,551,62,7,Verse 3,14,116,14,11,11,"[71, 151, 214, 236, 250, 337, 350, 365, 384, 434, 520, 551, 599, 642]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"['—used as a function word to indicate connection or addition especially of items within the same class or type—used to join sentence elements of the same grammatical rank or function', '—used as a function word to express logical modification, consequence, antithesis, or supplementary explanation', '—used as a function word to join one finite verb (such as go, come, try) to another so that together they are logically equivalent to an infinitive of purpose']","[['constantly', 'continually', 'frequently', 'hourly', 'much', 'oft', 'often', 'oftentimes', 'over and over', 'repeatedly']]",['much'],"[['infrequently', 'little', 'rarely', 'seldom']]",['little'], disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,0.9708,92,0.5227272727272727,22.119902,-23.595013
551,treat,treat,treat,552,62,7,Verse 3,14,117,1,1,1,[552],"[('treat', 'NN')]",N,POSITIVE,0.9999,"['to deal with in speech or writing : expound', 'to present or represent artistically', 'to deal with : handle']","[['act (toward)', 'be (to)', 'deal (with)', 'handle', 'serve', 'use'], ['address', 'contend (with)', 'cope (with)', 'field', 'grapple (with)', 'hack', 'handle', 'manage', 'maneuver', 'manipulate', 'negotiate', 'play', 'swing', 'take'], ['advise', 'confab', 'confabulate', 'confer', 'consult', 'counsel', 'parley'], ['doctor']]","['take', 'doctor']",[],[], disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,0.9999,176,1.0,-0.0861319,-6.5331893
552,you,you,you,553,62,7,Verse 3,14,118,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,0.9991,168,0.9545454545454546,-39.645634,5.270719
553,bad,bad,bad,554,62,7,Verse 3,14,119,2,2,2,"[532, 554]","[('bad', 'JJ')]",ADJ,NEGATIVE,0.9998,"['failing to reach an acceptable standard : poor', 'unfavorable', 'not fresh : spoiled']","[['bastard', 'bush', 'bush-league', 'crummy', 'deficient', 'dissatisfactory', 'ill', 'inferior', 'lame', 'lousy', 'off', 'paltry', 'poor', 'punk', 'sour', 'suboptimal', 'subpar', 'substandard', 'unacceptable', 'unsatisfactory', 'wack', 'wanting', 'wretched', 'wrong'], ['black', 'dark', 'evil', 'immoral', 'iniquitous', 'nefarious', 'rotten', 'sinful', 'unethical', 'unlawful', 'unrighteous', 'unsavory', 'vicious', 'vile', 'villainous', 'wicked', 'wrong'], ['adverse', 'baleful', 'baneful', 'damaging', 'dangerous', 'deleterious', 'detrimental', 'evil', 'harmful', 'hurtful', 'ill', 'injurious', 'mischievous', 'nocuous', 'noxious', 'pernicious', 'prejudicial', 'wicked'], ['contrary', 'errant', 'froward', 'misbehaving', 'mischievous', 'naughty'], ['blue', 'brokenhearted', 'cast down', 'crestfallen', 'dejected', 'depressed', 'despondent', 'disconsolate', 'doleful', 'down', 'down in the mouth', 'downcast', 'downhearted', 'droopy', 'forlorn', 'gloomy', 'glum', 'hangdog', 'heartbroken', 'heartsick', 'heartsore', 'heavyhearted', 'inconsolable', 'joyless', 'low', 'low-spirited', 'melancholic', 'melancholy', 'miserable', 'mournful', 'sad', 'saddened', 'sorrowful', 'sorry', 'unhappy', 'woebegone', 'woeful', 'wretched'], ['amiss', 'defective', 'faulty', 'flawed', 'imperfect'], ['addled', 'corrupted', 'decayed', 'decomposed', 'putrefied', 'putrid', 'rotten', 'spoiled'], ['bitter', 'disagreeable', 'displeasing', 'distasteful', 'harsh', 'icky', 'nasty', 'rotten', 'sour', 'uncongenial', 'unlovely', 'unpalatable', 'unpleasant', 'unpleasing', 'unsavory', 'unwelcome', 'wicked', 'yucky'], ['bargain-basement', 'bum', 'cheap', 'cheapjack', 'cheesy', 'coarse', 'common', 'crappy', 'cut-rate', 'el cheapo', 'execrable', 'gimcrack', 'inferior', 'junky', 'lousy', 'low-grade', 'low-rent', 'mediocre', 'miserable', 'poor', 'rotten', 'rubbishy', 'schlock', 'second-rate', 'shoddy', 'sleazy', 'terrible', 'trashy', 'trumpery', 'wretched'], ['ailing', 'down', 'ill', 'indisposed', 'peaked', 'peaky', 'poorly', 'punk', 'run-down', 'sick', 'sickened', 'unhealthy', 'unsound', 'unwell'], ['inoperative', 'invalid', 'nonbinding', 'nonvalid', 'nugatory', 'null', 'null and void', 'void'], ['bitchy', 'catty', 'cruel', 'despiteful', 'hateful', 'malevolent', 'malicious', 'malign', 'malignant', 'mean', 'nasty', 'spiteful', 'vicious', 'virulent']]","['off', 'wrong']","[['acceptable', 'adequate', 'all right', 'decent', 'fine', 'OK', 'passable', 'respectable', 'satisfactory', 'standard', 'tolerable'], ['decent', 'ethical', 'good', 'honest', 'honorable', 'just', 'moral', 'right', 'righteous', 'sublime', 'upright', 'virtuous'], ['anodyne', 'benign', 'harmless', 'hurtless', 'innocent', 'innocuous', 'inoffensive', 'safe'], ['behaved', 'behaving', 'nice', 'orderly'], ['blissful', 'buoyant', 'buoyed', 'cheerful', 'cheery', 'chipper', 'delighted', 'glad', 'gladdened', 'gladsome', 'gleeful', 'happy', 'joyful', 'joyous', 'jubilant', 'sunny', 'upbeat'], ['faultless', 'flawless', 'impeccable', 'perfect'], ['undecomposed'], ['agreeable', 'congenial', 'good', 'grateful', 'gratifying', 'nice', 'palatable', 'pleasant', 'pleasing', 'pleasurable', 'satisfying', 'welcome'], ['excellent', 'fine', 'first-class', 'first-rate', 'good', 'high-grade', 'superior', 'top-notch'], ['hale', 'healthful', 'healthy', 'sound', 'well', 'whole', 'wholesome'], ['binding', 'good', 'valid'], ['benevolent', 'benign', 'benignant', 'loving', 'unmalicious']]","['good', 'just', 'right', 'safe']", disrespect you and treat you bad,NEGATIVE,0.997,-0.997,3,0.057692307692307696,-0.9998,0,0.0,-4.4208407,14.136003
554,Let,Let,let,555,63,7,Verse 3,15,120,3,3,3,"[52, 157, 555]","[('let', 'VB')]",V,NEGATIVE,0.7554,"['to cause to : make', 'to give opportunity to or fail to prevent', '—used in the imperative to introduce a request or proposal']","[['allow', 'leave', 'permit'], ['lease', 'rent'], ['allow', 'empower', 'enable', 'permit'], ['allow', 'permit', 'suffer', 'tolerate']]",[],"[['enjoin', 'forbid', 'prohibit'], ['prevent'], ['bar', 'block', 'constrain', 'prevent']]",[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,-0.7554,45,0.2556818181818182,-4.247565,-17.250135
555,God,God,god,556,63,7,Verse 3,15,121,1,1,1,[556],"[('god', 'NN')]",N,POSITIVE,0.9449,"['the supreme or ultimate reality: such as', 'the Being perfect in power, wisdom, and goodness who is worshipped (as in Judaism, Christianity, Islam, and Hinduism) as creator and ruler of the universe', 'the incorporeal divine Principle ruling over all as eternal Spirit : infinite Mind']","[['deity', 'divinity'], ['Allah', 'Almighty', 'Author', 'Creator', 'deity', 'Divinity', 'Eternal', 'Everlasting', 'Father', 'Godhead', 'Jehovah', 'King', 'Lord', 'Maker', 'Providence', 'Supreme Being', 'Yahweh'], ['hero', 'icon', 'idol']]",[],[],[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9449,75,0.42613636363636365,-8.358079,14.173944
556,deal,deal,deal,557,63,7,Verse 3,15,122,1,1,1,[557],"[('deal', 'NN')]",N,POSITIVE,0.9989,"['to concern oneself or itself', 'to take action with regard to someone or something', 'to reach or try to reach a state of acceptance or reconcilement']","[['abundance', 'barrel', 'basketful', 'boatload', 'bucket', 'bunch', 'bundle', 'bushel', 'carload', 'chunk', 'dozen', 'fistful', 'gobs', 'good deal', 'heap', 'hundred', 'lashings', 'loads', 'lot', 'mass', 'mess', 'mountain', 'much', 'multiplicity', 'myriad', 'oodles', 'pack', 'passel', 'peck', 'pile', 'plateful', 'plenitude', 'plentitude', 'plenty', 'pot', 'potful', 'profusion', 'quantity', 'raft', 'reams', 'scads', 'sheaf', 'shipload', 'sight', 'slew', 'spate', 'stack', 'store', 'ton', 'truckload', 'volume', 'wad', 'wealth', 'yard']]",['much'],"[['ace', 'bit', 'dab', 'dram', 'driblet', 'glimmer', 'handful', 'hint', 'lick', 'little', 'mite', 'mouthful', 'nip', 'ounce', 'peanuts', 'pinch', 'pittance', 'scruple', 'shade', 'shadow', 'smidgen', 'speck', 'spot', 'sprinkle', 'sprinkling', 'strain', 'streak', 'suspicion', 'tad', 'taste', 'touch', 'trace']]",['little'], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9989,166,0.9431818181818182,-1.7829698,6.554901
557,with,with,with,558,63,7,Verse 3,15,123,4,4,4,"[348, 363, 460, 558]","[('with', 'IN')]",PREP,POSITIVE,0.9826,"['in opposition to : against', 'so as to be separated or detached from', '—used as a function word to indicate a participant in an action, transaction, or arrangement']","[['because of', 'due to', 'owing to', 'through'], ['by', 'in', 'per', 'through', 'via'], ['despite', 'notwithstanding', 'regardless of']]",['in'],[],[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9826,101,0.5738636363636364,11.6526985,-21.165684
558,the,the,the,559,63,7,Verse 3,15,124,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9636,84,0.4772727272727273,8.298111,-13.91443
559,things,things,things,560,63,7,Verse 3,15,125,1,1,1,[560],"[('things', 'NNS')]",N,POSITIVE,0.9926,"['an object or entity not precisely designated or capable of being designated', 'an inanimate object distinguished from a living being', 'a separate and distinct individual quality, fact, idea, or usually entity']","[['belongings', 'chattels', 'duds', 'effects', 'gear', 'goods', 'holdings', 'movables', 'paraphernalia', 'personal effects', 'personal property', 'personalty', 'plunder', 'possession', 'stuff']]",['stuff'],[],[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9926,125,0.7102272727272727,-13.105414,7.6175933
560,they,they,they,561,63,7,Verse 3,15,126,1,1,1,[561],"[('they', 'PRP')]",PRON,POSITIVE,0.9649,"['those ones : those people, animals, or things', '—used to refer to people in a general way or to a group of people who are not specified', '—used with a singular indefinite pronoun antecedent']",[],[],[],[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9649,85,0.48295454545454547,14.72406,6.6828876
561,do,do,do,562,63,7,Verse 3,15,127,4,4,4,"[290, 323, 562, 593]","[('do', 'VB')]",V,POSITIVE,0.9963,"['to bring to pass : carry out', 'put —used chiefly in do to death', 'perform, execute']","[['befit', 'beseem', 'fit', 'go', 'serve', 'suit'], ['serve', 'suffice'], ['accomplish', 'achieve', 'bring off', 'carry off', 'carry out', 'commit', 'compass', 'execute', 'follow through (with)', 'fulfill', 'make', 'negotiate', 'perform', 'perpetrate', 'prosecute', 'pull off', 'put through'], ['adorn', 'array', 'beautify', 'bedeck', 'bedizen', 'blazon', 'caparison', 'deck', 'decorate', 'do up', 'doll up', 'drape', 'dress', 'embellish', 'emblaze', 'emboss', 'enrich', 'fancify', 'fancy up', 'festoon', 'garnish', 'glitz (up)', 'grace', 'gussy up', 'ornament', 'pretty (up)', 'trim'], ['cope', 'fare', 'get along', 'get by', 'get on', 'make out', 'manage', 'shift'], ['beget', 'breed', 'bring', 'bring about', 'bring on', 'catalyze', 'cause', 'create', 'draw on', 'effect', 'effectuate', 'engender', 'generate', 'induce', 'invoke', 'make', 'occasion', 'produce', 'prompt', 'result (in)', 'spawn', 'translate (into)', 'work', 'yield'], ['burlesque', 'caricature', 'imitate', 'mimic', 'mock', 'parody', 'send up', 'spoof', 'travesty'], ['advance', 'come', 'come along', 'fare', 'forge', 'get along', 'get on', 'go', 'go along', 'go off', 'march', 'pace', 'proceed', 'progress'], ['act', 'impersonate', 'interpret', 'perform', 'play', 'portray'], ['beat', 'bilk', 'bleed', 'cheat', 'chisel', 'chouse', 'con', 'cozen', 'defraud', 'diddle', 'do in', 'euchre', 'fiddle', 'fleece', 'flimflam', 'gaff', 'hose', 'hustle', 'mulct', 'nobble', 'pluck', 'ream', 'rip off', 'rook', 'screw', 'shake down', 'short', 'shortchange', 'skin', 'skunk', 'squeeze', 'stick', 'stiff', 'sting', 'sucker', 'swindle', 'thimblerig', 'victimize'], ['bash', 'baste', 'bat', 'batter', 'beat', 'belabor', 'belt', 'birch', 'bludgeon', 'buffet', 'bung up', 'club', 'curry', 'drub', 'fib', 'flog', 'hammer', 'hide', 'lace', 'lambaste', 'lash', 'lather', 'lick', 'maul', 'mess (up)', 'paddle', 'pelt', 'pommel', 'pound', 'pummel', 'punch out', 'rough (up)', 'slate', 'slog', 'switch', 'tan', 'thrash', 'thresh', 'thump', 'tromp', 'wallop', 'whale', 'whip', 'whop', 'whup', 'work over'], ['be', 'befall', 'betide', 'chance', 'come', 'come about', 'come down', 'come off', 'cook', 'go down', 'go on', 'hap', 'happen', 'occur', 'pass', 'transpire']]","['go', 'make', 'work', 'come', 'be']","[['blemish', 'deface', 'disfigure', 'mar', 'scar', 'spoil'], ['remain', 'stand', 'stay', 'stop']]",[], let god deal with the things they do,NEGATIVE,0.9065,-0.9065,20,0.38461538461538464,0.9963,146,0.8295454545454546,6.6843147,-1.9230378
562,Cause,Cause,because,563,64,7,Verse 3,16,128,3,3,3,"[137, 244, 563]","[('because', 'IN')]",PREP,NEGATIVE,0.8893,"['for the reason that : since', 'the fact that : that']","[[""'cause"", 'as', 'as long as', 'being (as or as how or that)', 'considering', 'for', 'inasmuch as', 'now', 'seeing', 'since', 'whereas']]","['as', 'for', 'now']",[],[], because hate in your heart will consume you too,NEGATIVE,0.9677,-0.9677,16,0.3076923076923077,-0.8893,41,0.23295454545454544,8.703365,19.006208
