,word_can_search,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data
126,tall,"['high in stature', 'of a specified height', 'of considerable height']","[['altitudinous', 'high', 'lofty', 'towering'], ['arduous', 'Augean', 'backbreaking', 'challenging', 'demanding', 'difficult', 'effortful', 'exacting', 'formidable', 'grueling', 'hard', 'heavy', 'hellacious', 'herculean', 'killer', 'laborious', 'moiling', 'murderous', 'pick-and-shovel', 'rigorous', 'rough', 'rugged', 'severe', 'stiff', 'strenuous', 'sweaty', 'testing', 'toilsome', 'tough', 'uphill']]",['tough'],"[['low', 'low-lying', 'short', 'squat'], ['cheap', 'easy', 'effortless', 'facile', 'light', 'mindless', 'simple', 'soft', 'undemanding']]",['easy']
127,makes,"['to bring into being by forming, shaping, or altering material : fashion', 'to lay out and construct', 'compose, write']","[['fabricates', 'fashions', 'forms', 'frames', 'manufactures', 'produces'], ['achieves', 'attains', 'bags', 'chalks up', 'clocks (up)', 'gains', 'hits', 'logs', 'notches (up)', 'racks up', 'rings up', 'scores', 'wins'], ['begets', 'breeds', 'brings', 'brings about', 'brings on', 'catalyzes', 'causes', 'creates', 'does', 'draws on', 'effects', 'effectuates', 'engenders', 'generates', 'induces', 'invokes', 'occasions', 'produces', 'prompts', 'results (in)', 'spawns', 'translates (into)', 'works', 'yields'], ['accomplishes', 'achieves', 'brings off', 'carries off', 'carries out', 'commits', 'compasses', 'does', 'executes', 'follows through (with)', 'fulfills', 'negotiates', 'performs', 'perpetrates', 'prosecutes', 'pulls off', 'puts through'], ['blackjacks', 'coerces', 'compels', 'constrains', 'dragoons', 'drives', 'forces', 'impels', 'impresses', 'muscles', 'obligates', 'obliges', 'presses', 'pressures', 'sandbags'], ['calculates', 'calls', 'conjectures', 'estimates', 'figures', 'gauges', 'guesses', 'judges', 'places', 'puts', 'reckons', 'supposes'], ['assembles', 'builds', 'confects', 'constructs', 'erects', 'fabricates', 'makes up', 'pieces', 'puts up', 'raises', 'rears', 'sets up'], ['acts', 'appears', 'comes across (as)', 'comes off (as)', 'feels', 'looks', 'seems', 'sounds'], ['bears', 'heads'], ['constitutes', 'enacts', 'lays down', 'legislates', 'ordains', 'passes'], ['acquires', 'attains', 'bags', 'brings in', 'captures', 'carries', 'comes by', 'draws', 'earns', 'gains', 'garners', 'gets', 'knocks down', 'lands', 'obtains', 'procures', 'pulls down', 'realizes', 'reaps', 'secures', 'wins'], ['appreciates', 'apprehends', 'assimilates', 'beholds', 'catches', 'catches on (to)', 'cognizes', 'compasses', 'comprehends', 'conceives', 'cottons (to or on to)', 'deciphers', 'decodes', 'digs', 'discerns', 'gets', 'grasps', 'groks', 'intuits', 'knows', 'makes out', 'perceives', 'recognizes', 'registers', 'savvies', 'sees', 'seizes', 'senses', 'tumbles (to)', 'twigs', 'understands'], ['closes', 'shuts', 'steeks']]",['does'],"[['demounts', 'disassembles', 'dismantles', 'dismembers', 'knocks down', 'strikes', 'takes down', 'tears down'], ['repeals', 'rescinds', 'revokes'], ['forfeits', 'loses'], ['misses'], ['opens']]",[]
128,laugh,"['to show emotion (such as mirth, joy, or scorn) with a chuckle or explosive vocal sound', 'to find amusement or pleasure in something', 'to become amused or derisive']","[['break up', 'cackle', 'chortle', 'chuckle', 'crack up', 'giggle', 'hee-haw', 'roar', 'scream', 'snicker', 'titter', 'twitter'], ['smile', 'sneer', 'snicker', 'snigger']]",[],[],[]
129,dads,['a male parent : father —often used as a name'],"[['daddies', 'fathers', 'old men', 'papas', 'pas', 'paters', 'pops', 'sires']]",[],[],[]
130,ears,['to form ears in growing'],"[['advertence', 'advertency', 'attention', 'awareness', 'cognizance', 'consciousness', 'eye', 'heed', 'knowledge', 'mindfulness', 'note', 'notice', 'observance', 'observation']]",['knowledge'],[],[]
131,sometimes,['at times : now and then : occasionally'],"[['here and there', 'now', 'now and then', 'occasionally']]",['now'],[],[]
132,wonder,"['a cause of astonishment or admiration : marvel', 'miracle', 'the quality of exciting amazed admiration']","[['caution', 'flash', 'marvel', 'miracle', 'phenomenon', 'portent', 'prodigy', 'sensation', 'splendor'], ['admiration', 'amazement', 'astonishment', 'awe', 'wonderment']]",[],[],[]
133,what,"['—used as an interrogative expressing inquiry about the identity, nature, or value of an object or matter', '—often used to ask for repetition of an utterance or part of an utterance not properly heard or understood', '—used as an interrogative expressing inquiry about the character, nature, occupation, position, or role of a person']","[['ah', 'aha', 'come on', 'fie', 'indeed', 'my word', 'no', 'pshaw', 'well', 'why']]","['no', 'why']",[],[]
134,general,"['involving, applicable to, or affecting the whole', 'involving, relating to, or applicable to every member of a class, kind, or group', 'not confined by specialization or careful limitation']","[['across-the-board', 'blanket', 'broad-brush', 'common', 'generic', 'global', 'overall', 'universal'], ['all-around', ""bird's-eye"", 'broad', 'nonspecific', 'overall'], ['common', 'majority', 'overall', 'popular', 'prevailing', 'public', 'received', 'ruling', 'vulgar'], ['all-around', 'all-purpose', 'catholic', 'general-purpose', 'unlimited', 'unqualified', 'unrestricted', 'unspecialized']]",[],"[['individual', 'particular'], ['close-up', 'delineated', 'detailed', 'molecular', 'particularized', 'specific'], ['uncommon', 'unpopular'], ['limited', 'restricted', 'specialized', 'technical']]",[]
135,maybe,['perhaps'],"[['conceivably', 'mayhap', 'perchance', 'perhaps', 'possibly']]",[],[],[]
136,mc,"['megacycle', 'millicurie']","[['announcer', 'emcee', 'host']]",[],[],[]
137,haha,['—used to express amusement or derision'],"[['moat', 'stank', 'sunk fence', 'dike', 'ditch', 'fosse', 'gutter', 'sheugh', 'trench', 'trough', 'acequia', 'culvert', 'drain', 'draw', 'gully', 'ravine', 'drill', 'furrow', 'kennel']]",[],[],[]
138,wanna,"['—used for ""want to"" in informal speech and in representations of such speech']",[],[],[],[]
139,kiss,"['to touch with the lips especially as a mark of affection or greeting', 'to touch gently or lightly', 'to salute or caress one another with the lips']","[['smooch'], ['brush', 'graze', 'nudge', 'shave', 'skim']]",[],[],[]
140,but,"['except for the fact', 'that —used after a negative', 'without the concomitant that']","[['apart from', 'aside from', 'bar', 'barring', 'beside', 'besides', 'except', 'except for', 'excluding', 'exclusive of', 'other than', 'outside', 'outside of', 'save', 'saving']]",[],[],[]
141,will,"['—used to express futurity', '—used to express desire, choice, willingness, consent, or in negative constructions refusal', '—used to express a command, exhortation, or injunction']","[['bequeath', 'leave'], ['choose', 'like', 'please', 'want', 'wish']]","['choose', 'like', 'please']",[],[]
142,test,"['a means of testing: such as', 'something (such as a series of questions or exercises) for measuring the skill, knowledge, intelligence, capacities, or aptitudes of an individual or group', 'a procedure, reaction, or reagent used to identify or characterize a substance or constituent']","[['essay', 'experiment', 'experimentation', 'trial'], ['exam', 'examination', 'quiz']]",[],[],[]
143,butt,"['buttocks —often used as a euphemism for ass in idiomatic expressions', 'the large or thicker end part of something:', 'the thicker or handle end of a tool or weapon']","[['backside', 'behind', 'booty', 'bottom', 'breech', 'bum', 'buns', 'buttocks', 'caboose', 'can', 'cheeks', 'derriere', 'duff', 'fanny', 'fundament', 'hams', 'haunches', 'heinie', 'hunkers', 'keister', 'nates', 'posterior', 'rear', 'rear end', 'rump', 'seat', 'tail', 'tail end', 'tush']]","['can', 'seat']",[],[]
144,when,"['at what time', 'at or during which time', 'and then']","[['as', 'so long as', 'while', 'whilst'], ['as soon as', 'immediately', 'instantly', 'once'], ['albeit', 'although', 'as', 'howbeit', 'much as', 'notwithstanding', 'though', 'whereas', 'while', 'whilst']]","['as', 'although']",[],[]
145,cut,"['to penetrate with or as if with an edged instrument', 'to hurt the feelings of', 'to strike sharply with a cutting effect']","[['gash', 'incise', 'rip', 'shear', 'slash', 'slice', 'slit'], ['blow off', 'miss', 'skip'], ['cold-shoulder', 'high-hat', 'slight', 'snub', 'stiff', 'stiff-arm'], ['bob', 'clip', 'crop', 'cut back', 'dock', 'lop (off)', 'nip', 'pare', 'poll', 'prune', 'shave', 'shear', 'snip', 'trim'], ['mow'], ['adulterate', 'dilute', 'extend', 'lace', 'sophisticate', 'thin', 'water down', 'weaken'], ['break', 'sheer', 'swerve', 'veer', 'yaw', 'zag', 'zig'], ['bisect', 'cross', 'intersect'], ['analyze', 'anatomize', 'assay', 'break down', 'deconstruct', 'dissect']]",['break'],"[['attend', 'show up (for)'], ['enrich', 'fortify', 'richen', 'strengthen'], ['straighten']]",[]
146,outta,['—used to say that one is leaving'],[],[],[],[]
147,line,"['a length of cord or cord-like material: such as', 'a comparatively strong slender cord', 'clothesline']","[['column', 'cue', 'file', 'queue', 'range', 'string', 'train'], ['course', 'methodology', 'policy', 'procedure', 'program'], ['calling', 'employment', 'game', 'lay', 'occupation', 'profession', 'trade', 'vocation', 'work'], ['area', 'arena', 'bailiwick', 'barony', 'business', 'circle', 'demesne', 'department', 'discipline', 'domain', 'element', 'fief', 'fiefdom', 'field', 'firmament', 'front', 'game', 'kingdom', 'precinct', 'province', 'realm', 'specialty', 'sphere', 'terrain', 'walk'], ['bound', 'boundary', 'cap', 'ceiling', 'confines', 'end', 'extent', 'limit', 'limitation', 'termination'], ['channel', 'conduit', 'duct', 'leader', 'penstock', 'pipe', 'trough', 'tube'], ['cable', 'cord', 'lace', 'lacing', 'rope', 'string', 'wire'], ['armada', 'caravan', 'cavalcade', 'fleet', 'motorcade', 'train'], ['course', 'path', 'pathway', 'route', 'routeway', 'steps', 'track', 'way'], ['blood', 'clan', 'family', 'folks', 'house', 'kin', 'kindred', 'kinfolk', 'kinsfolk', 'lineage', 'people', 'race', 'stock', 'tribe'], ['ancestry', 'birth', 'blood', 'bloodline', 'breeding', 'descent', 'extraction', 'family tree', 'genealogy', 'lineage', 'origin', 'parentage', 'pedigree', 'stock', 'strain']]","['work', 'discipline', 'track', 'people']","[['issue', 'posterity', 'progeny', 'seed']]",[]
148,true,"['being in accordance with the actual state of affairs', 'conformable to an essential reality', 'fully realized or fulfilled']","[['authentic', 'bona fide', 'certifiable', 'certified', 'dinkum', 'echt', 'genuine', 'honest', 'pukka', 'real', 'right', 'sure-enough'], ['accurate', 'bang on', 'correct', 'dead-on', 'exact', 'good', 'on-target', 'precise', 'proper', 'right', 'so', 'spot-on', 'veracious'], ['actual', 'concrete', 'de facto', 'effective', 'existent', 'factual', 'genuine', 'real', 'sure-enough', 'very'], ['constant', 'dedicated', 'devoted', 'devout', 'down-the-line', 'faithful', 'fast', 'good', 'loyal', 'pious', 'staunch', 'steadfast', 'steady', 'true-blue'], ['accurate', 'authentic', 'exact', 'faithful', 'precise', 'right', 'strict', 'veracious'], ['artless', 'genuine', 'guileless', 'honest', 'ingenuous', 'innocent', 'naive', 'natural', 'real', 'simple', 'sincere', 'unaffected', 'unpretending', 'unpretentious'], ['documentary', 'factual', 'hard', 'historical', 'literal', 'matter-of-fact', 'nonfictional', 'objective'], ['calculable', 'dependable', 'good', 'reliable', 'responsible', 'safe', 'secure', 'solid', 'steady', 'sure', 'tried', 'tried-and-true', 'trustable', 'trustworthy', 'trusty'], ['archetypal', 'average', 'characteristic', 'normal', 'regular', 'representative', 'standard', 'typical'], ['all right', 'decent', 'ethical', 'good', 'honest', 'honorable', 'just', 'moral', 'nice', 'right', 'right-minded', 'righteous', 'straight', 'upright', 'virtuous']]","['right', 'good', 'so', 'very', 'fast', 'safe', 'just']","[['bogus', 'counterfeit', 'fake', 'false', 'mock', 'phony', 'pseudo', 'sham', 'spurious', 'suppositious', 'supposititious', 'unauthentic', 'unreal'], ['false', 'improper', 'inaccurate', 'incorrect', 'inexact', 'off', 'untrue', 'wrong'], ['conjectural', 'hypothetical', 'ideal', 'inexistent', 'nonexistent', 'platonic', 'possible', 'potential', 'suppositional', 'theoretical'], ['disloyal', 'faithless', 'false', 'fickle', 'inconstant', 'perfidious', 'recreant', 'traitorous', 'treacherous', 'unfaithful', 'untrue'], ['corrupt', 'corrupted', 'false', 'imprecise', 'inaccurate', 'inauthentic', 'inexact', 'loose', 'unfaithful'], ['affected', 'artful', 'artificial', 'assuming', 'dishonest', 'dissembling', 'dissimulating', 'fake', 'false', 'guileful', 'insincere', 'phony', 'pretentious'], ['fictional', 'fictionalized', 'fictitious', 'nondocumentary', 'nonfactual', 'nonhistorical', 'unhistorical'], ['dodgy', 'uncertain', 'undependable', 'unreliable', 'unsafe', 'untrustworthy'], ['aberrant', 'abnormal', 'anomalous', 'atypical', 'deviant', 'irregular', 'nonrepresentative', 'nontypical', 'untypical'], ['bad', 'black', 'dishonest', 'dishonorable', 'evil', 'evil-minded', 'immoral', 'indecent', 'sinful', 'unethical', 'unrighteous', 'wicked', 'wrong']]","['off', 'wrong', 'bad']"
149,uh-uh-uh,[],[],[],[],[]
150,why,"['for what cause, reason, or purpose']","[['ah', 'aha', 'come on', 'fie', 'indeed', 'my word', 'no', 'pshaw', 'well', 'what']]","['no', 'what']",[],[]
151,do,"['to bring to pass : carry out', 'put —used chiefly in do to death', 'perform, execute']","[['befit', 'beseem', 'fit', 'go', 'serve', 'suit'], ['serve', 'suffice'], ['accomplish', 'achieve', 'bring off', 'carry off', 'carry out', 'commit', 'compass', 'execute', 'follow through (with)', 'fulfill', 'make', 'negotiate', 'perform', 'perpetrate', 'prosecute', 'pull off', 'put through'], ['adorn', 'array', 'beautify', 'bedeck', 'bedizen', 'blazon', 'caparison', 'deck', 'decorate', 'do up', 'doll up', 'drape', 'dress', 'embellish', 'emblaze', 'emboss', 'enrich', 'fancify', 'fancy up', 'festoon', 'garnish', 'glitz (up)', 'grace', 'gussy up', 'ornament', 'pretty (up)', 'trim'], ['cope', 'fare', 'get along', 'get by', 'get on', 'make out', 'manage', 'shift'], ['beget', 'breed', 'bring', 'bring about', 'bring on', 'catalyze', 'cause', 'create', 'draw on', 'effect', 'effectuate', 'engender', 'generate', 'induce', 'invoke', 'make', 'occasion', 'produce', 'prompt', 'result (in)', 'spawn', 'translate (into)', 'work', 'yield'], ['burlesque', 'caricature', 'imitate', 'mimic', 'mock', 'parody', 'send up', 'spoof', 'travesty'], ['advance', 'come', 'come along', 'fare', 'forge', 'get along', 'get on', 'go', 'go along', 'go off', 'march', 'pace', 'proceed', 'progress'], ['act', 'impersonate', 'interpret', 'perform', 'play', 'portray'], ['beat', 'bilk', 'bleed', 'cheat', 'chisel', 'chouse', 'con', 'cozen', 'defraud', 'diddle', 'do in', 'euchre', 'fiddle', 'fleece', 'flimflam', 'gaff', 'hose', 'hustle', 'mulct', 'nobble', 'pluck', 'ream', 'rip off', 'rook', 'screw', 'shake down', 'short', 'shortchange', 'skin', 'skunk', 'squeeze', 'stick', 'stiff', 'sting', 'sucker', 'swindle', 'thimblerig', 'victimize'], ['bash', 'baste', 'bat', 'batter', 'beat', 'belabor', 'belt', 'birch', 'bludgeon', 'buffet', 'bung up', 'club', 'curry', 'drub', 'fib', 'flog', 'hammer', 'hide', 'lace', 'lambaste', 'lash', 'lather', 'lick', 'maul', 'mess (up)', 'paddle', 'pelt', 'pommel', 'pound', 'pummel', 'punch out', 'rough (up)', 'slate', 'slog', 'switch', 'tan', 'thrash', 'thresh', 'thump', 'tromp', 'wallop', 'whale', 'whip', 'whop', 'whup', 'work over'], ['be', 'befall', 'betide', 'chance', 'come', 'come about', 'come down', 'come off', 'cook', 'go down', 'go on', 'hap', 'happen', 'occur', 'pass', 'transpire']]","['go', 'make', 'work', 'come', 'be']","[['blemish', 'deface', 'disfigure', 'mar', 'scar', 'spoil'], ['remain', 'stand', 'stay', 'stop']]",[]
152,tough,"['difficult to accomplish, resolve, endure, or deal with', 'capable of enduring strain, hardship, or severe labor', 'unruly, rowdyish']","[['chewy', 'leathery'], ['cast-iron', 'hard', 'hard-bitten', 'hardened', 'hardy', 'inured', 'rugged', 'stout', 'strong', 'sturdy', 'toughened', 'vigorous'], ['bitter', 'brutal', 'burdensome', 'cruel', 'excruciating', 'grievous', 'grim', 'hard', 'hardhanded', 'harsh', 'heavy', 'inhuman', 'murderous', 'onerous', 'oppressive', 'rough', 'rugged', 'searing', 'severe', 'stiff', 'trying'], ['arduous', 'Augean', 'backbreaking', 'challenging', 'demanding', 'difficult', 'effortful', 'exacting', 'formidable', 'grueling', 'hard', 'heavy', 'hellacious', 'herculean', 'killer', 'laborious', 'moiling', 'murderous', 'pick-and-shovel', 'rigorous', 'rough', 'rugged', 'severe', 'stiff', 'strenuous', 'sweaty', 'tall', 'testing', 'toilsome', 'uphill'], ['catchy', 'delicate', 'difficult', 'dodgy', 'hairy', 'knotty', 'nasty', 'prickly', 'problematic', 'sensitive', 'spiny', 'sticky', 'thorny', 'ticklish', 'touchy', 'tricksy', 'tricky'], ['austere', 'authoritarian', 'flinty', 'hard', 'harsh', 'heavy-handed', 'ramrod', 'rigid', 'rigorous', 'severe', 'stern', 'strict']]","['trying', 'tall', 'sensitive']","[['tender'], ['delicate', 'nonhardy', 'soft', 'tender', 'weak'], ['easy', 'light', 'soft'], ['cheap', 'easy', 'effortless', 'facile', 'light', 'mindless', 'simple', 'soft', 'undemanding'], ['clement', 'forbearing', 'gentle', 'indulgent', 'lax', 'lenient', 'tolerant']]",['easy']
153,making,"['the act or process of forming, causing, doing, or coming into being', 'a process or means of advancement or success', 'something made; especially : a quantity produced at one time : batch']","[['material', 'raw material', 'stuff', 'substance', 'timber']]",['stuff'],[],[]
154,crazy,"['full of cracks or flaws : unsound', 'crooked, askew', 'not mentally sound : marked by thought or action that lacks reason : insane —not used technically']","[['absurd', 'bizarre', 'fanciful', 'fantastic', 'foolish', 'insane', 'nonsensical', 'preposterous', 'unreal', 'wild'], ['balmy', 'barmy', 'bats', 'batty', 'bedlam', 'bonkers', 'brainsick', 'bughouse', 'certifiable', 'crackbrained', 'cracked', 'crackers', 'crackpot', 'cranky', 'crazed', 'cuckoo', 'daffy', 'daft', 'demented', 'deranged', 'fruity', 'gaga', 'haywire', 'insane', 'kooky', 'loco', 'loony', 'loony tunes', 'lunatic', 'mad', 'maniacal', 'mental', 'meshuga', 'moonstruck', 'non compos mentis', 'nuts', 'nutty', 'psycho', 'psychotic', 'scatty', 'screwy', 'unbalanced', 'unhinged', 'unsound', 'wacko', 'wacky', 'wud'], ['absurd', 'asinine', 'balmy', 'brainless', 'bubbleheaded', 'cockeyed', 'crackpot', 'cuckoo', 'daffy', 'daft', 'dippy', 'dotty', 'fatuous', 'featherheaded', 'fool', 'foolish', 'half-baked', 'half-witted', 'harebrained', 'inept', 'insane', 'jerky', 'kooky', 'loony', 'lunatic', 'lunkheaded', 'mad', 'nonsensical', 'nutty', 'preposterous', 'sappy', 'screwball', 'senseless', 'silly', 'simpleminded', 'stupid', 'tomfool', 'unwise', 'wacky', 'weak-minded', 'witless', 'zany'], ['agog', 'antsy', 'anxious', 'ardent', 'athirst', 'avid', 'desirous', 'eager', 'enthused', 'enthusiastic', 'excited', 'geeked', 'great', 'greedy', 'gung ho', 'hepped up', 'hopped-up', 'hot', 'hungry', 'impatient', 'juiced', 'keen', 'nuts', 'pumped', 'raring', 'solicitous', 'stoked', 'thirsty', 'voracious', 'wild'], ['bizarre', 'bizarro', 'cranky', 'curious', 'eccentric', 'erratic', 'far-out', 'funky', 'funny', 'kinky', 'kooky', 'odd', 'off-kilter', 'off-the-wall', 'offbeat', 'out-of-the-way', 'outlandish', 'outré', 'peculiar', 'quaint', 'queer', 'queerish', 'quirky', 'remarkable', 'rum', 'screwy', 'spaced-out', 'strange', 'wacky', 'way-out', 'weird', 'weirdo', 'wild'], ['askew', 'aslant', 'atilt', 'awry', 'cock-a-hoop', 'cockeyed', 'crooked', 'listing', 'lopsided', 'oblique', 'off-kilter', 'pitched', 'skewed', 'slanted', 'slanting', 'slantwise', 'tilted', 'tipping', 'uneven'], ['bending', 'crooked', 'curled', 'curling', 'curved', 'curving', 'curvy', 'devious', 'serpentine', 'sinuous', 'tortuous', 'twisted', 'twisting', 'winding', 'windy']]",['mad'],"[['realistic', 'reasonable'], ['balanced', 'compos mentis', 'sane', 'sound', 'uncrazy'], ['judicious', 'prudent', 'sagacious', 'sage', 'sane', 'sapient', 'sensible', 'sound', 'wise'], ['apathetic', 'indifferent', 'uneager', 'unenthusiastic'], ['even', 'level', 'straight'], ['straight', 'straightaway']]",[]
155,joy,"['the emotion evoked by well-being, success, or good fortune or by the prospect of possessing what one desires : delight', 'the expression or exhibition of such emotion : gaiety', 'a state of happiness or felicity : bliss']","[['beatitude', 'blessedness', 'bliss', 'blissfulness', 'felicity', 'gladness', 'happiness', 'warm fuzzies'], ['delectation', 'delight', 'feast', 'gas', 'kick', 'manna', 'pleasure', 'treat']]",['treat'],"[['calamity', 'ill-being', 'misery', 'sadness', 'unhappiness', 'wretchedness']]",[]
156,eyes,"['a specialized light-sensitive sensory structure of animals that in nearly all vertebrates, most arthropods, and some mollusks is the image-forming organ of sight; especially : the nearly spherical usually paired hollow organ of sight in vertebrates that is filled with a jellylike material, is lined with a photosensitive retina, and is lodged in a bony orbit in the skull', 'all the visible structures within and surrounding the orbit and including eyelids, eyelashes, and eyebrows', 'the faculty of seeing with eyes']","[['bands', 'circles', 'hoops', 'loops', 'rings', 'rounds'], ['axes', 'bases', 'capitals', 'centers', 'centrals', 'cores', 'cynosures', 'epicenters', 'foci', 'ground zeros', 'hearts', 'hubs', 'loci', 'meccas', 'navels', 'nerve centers', 'nexuses', 'nuclei', 'omphali', 'seats'], ['beliefs', 'convictions', 'feelings', 'judgments', 'minds', 'notions', 'opinions', 'persuasions', 'sentiments', 'verdicts', 'views'], ['casts', 'ganders', 'glances', 'glimpses', 'looks', 'peeks', 'peeps', 'regards', 'sights', 'views'], ['sight', 'vision'], ['aspects', 'gapes', 'gazes', 'regards', 'scrutinies', 'stares']]",[],[],[]
157,baby,"['an extremely young child; especially : infant', 'an extremely young animal', 'the youngest of a group']","[['babe', 'bambino', 'child', 'infant', 'neonate', 'newborn'], ['being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'life', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['accomplishment', 'achievement', 'acquirement', 'attainment', 'coup', 'success', 'triumph'], ['bellyacher', 'complainer', 'crybaby', 'fussbudget', 'fusser', 'fusspot', 'griper', 'grumbler', 'kvetch', 'kvetcher', 'sniveler', 'whiner']]","['head', 'life', 'man']",[['nonachievement']],[]
158,boy,"['a male child from birth to adulthood', 'son', 'an immature male']","[['boychick', 'boyo', 'callant', 'lad', 'laddie', 'nipper', 'shaveling', 'shaver', 'sonny', 'stripling', 'tad', 'youth'], ['beau', 'boyfriend', 'fellow', 'man', 'old man', 'swain']]",['man'],[],[]
159,always,"['at all times : invariably', 'forever', 'at any rate : in any event']","[['aye', 'consistently', 'constantly', 'continually', 'ever', 'forever', 'incessantly', 'invariably', 'night and day', 'perpetually', 'unfailingly'], ['anyhow', 'anyway', 'leastways', 'leastwise'], ['aye', ""e'er"", 'eternally', 'ever', 'everlastingly', 'evermore', 'forever', 'forevermore', 'indelibly', 'permanently', 'perpetually']]",[],"[[""ne'er"", 'never'], [""ne'er"", 'never', 'nevermore']]",[]
160,everything,"['all that exists', 'all that relates to the subject', 'all that is important']",[],[],[],[]
161,show,"['to cause or permit to be seen : exhibit', 'to offer for sale', 'to present as a public spectacle : perform']","[['display', 'disport', 'exhibit', 'expose', 'flash', 'flaunt', 'lay out', 'parade', 'produce', 'show off', 'sport', 'strut', 'unveil'], ['bespeak', 'betray', 'communicate', 'declare', 'demonstrate', 'display', 'evince', 'expose', 'give away', 'manifest', 'reveal'], ['demonstrate', 'establish', 'prove', 'substantiate'], ['coach', 'counsel', 'guide', 'lead', 'mentor', 'pilot', 'shepherd', 'tutor'], ['conduct', 'direct', 'guide', 'lead', 'marshal', 'pilot', 'route', 'steer', 'usher'], ['appear', 'come out', 'materialize', 'show up', 'turn up', 'unfold']]",[],"[['disprove'], ['follow', 'trail'], ['clear', 'disappear', 'dissolve', 'evanesce', 'evaporate', 'fade', 'go (away)', 'melt (away)', 'vanish']]",[]
162,how,"['in what manner or way', 'for what reason : why', 'with what meaning : to what effect']","[['where', 'wherein']]",['where'],[],[]
163,dignity,"['formal reserve or seriousness of manner, appearance, or language', 'the quality or state of being worthy, honored, or esteemed', 'high rank, office, or position']","[['class', 'fashion', 'quality', 'rank', 'standing', 'state']]",['standing'],[],[]
164,integrity,"['firm adherence to a code of especially moral or artistic values : incorruptibility', 'an unimpaired condition : soundness', 'the quality or state of being complete or undivided : completeness']","[['character', 'decency', 'goodness', 'honesty', 'morality', 'probity', 'rectitude', 'righteousness', 'rightness', 'uprightness', 'virtue', 'virtuousness'], ['honesty', 'probity', 'truthfulness', 'veracity', 'verity'], ['honesty', 'honor', 'probity', 'rectitude', 'righteousness', 'uprightness']]",['honor'],"[['badness', 'evil', 'evildoing', 'immorality', 'iniquity', 'sin', 'villainy', 'wickedness'], ['deceit', 'deceitfulness', 'dishonesty', 'lying', 'mendaciousness', 'mendacity', 'untruthfulness'], ['baseness', 'dishonor', 'lowness']]",[]
165,honor,"['good name or public esteem : reputation', 'a showing of usually merited respect : recognition', 'privilege']","[['fete', 'recognize']]",[],[],[]
166,lose,"['to bring to destruction —used chiefly in passive construction', 'damn', ""to miss from one's possession or from a customary or supposed place""]","[['mislay', 'misplace'], ['drop'], ['bow out', 'fall'], ['cashier', 'cast (off)', 'chuck', 'deep-six', 'discard', 'ditch', 'dump', 'eighty-six', 'exorcise', 'fling (off or away)', 'jettison', 'junk', 'lay by', 'pitch', 'reject', 'scrap', 'shed', 'shuck (off)', 'slough (off)', 'throw away', 'throw out', 'toss', 'unload'], ['blow', 'dissipate', 'fiddle away', 'fritter (away)', 'lavish', 'misspend', 'run through', 'spend', 'squander', 'throw away', 'trifle (away)', 'waste']]",[],"[['nail (down)', 'win'], ['conquer', 'prevail', 'triumph', 'win'], ['conserve']]",[]
167,long,"['extending for a considerable distance', 'having greater length than usual', 'having greater height than usual : tall']","[['elongate', 'extended', 'king-size', 'lengthy'], ['extended', 'far', 'great', 'lengthy', 'long-drawn-out', 'long-lived', 'long-term', 'marathon']]",[],"[['brief', 'curt', 'short', 'shortish'], ['brief', 'little', 'mini', 'short', 'shortish', 'short-lived', 'short-term']]",['little']
168,came,[],"[['advanced', 'approached', 'neared', 'nighed'], ['appeared', 'arrived', 'got in', 'got through', 'landed', 'showed up', 'turned up'], ['became', 'got', 'grew', 'ran', 'turned', 'waxed', 'went'], ['befell', 'betided', 'came about', 'came down', 'came off', 'chanced', 'cooked', 'did', 'happed', 'happened', 'occurred', 'passed', 'transpired', 'was', 'went down', 'went on'], ['advanced', 'came along', 'did', 'fared', 'forged', 'got along', 'got on', 'marched', 'paced', 'proceeded', 'progressed', 'went', 'went along', 'went off']]","['got', 'was']","[['receded (from)', 'retreated', 'went', 'withdrew'], ['left', 'went'], ['remained', 'stayed', 'stood', 'stopped']]",[]
169,with,"['in opposition to : against', 'so as to be separated or detached from', '—used as a function word to indicate a participant in an action, transaction, or arrangement']","[['because of', 'due to', 'owing to', 'through'], ['by', 'in', 'per', 'through', 'via'], ['despite', 'notwithstanding', 'regardless of']]",['in'],[],[]
170,cry,"['to utter loudly : shout', 'beg, beseech', 'to proclaim publicly : advertise']","[['bawl', 'blub', 'blubber', 'sob', 'weep'], ['call', 'sing'], ['bawl', 'bay', 'bellow', 'call', 'holler', 'hollo', 'roar', 'shout', 'sound off', 'thunder', 'vociferate', 'yell']]",[],[],[]
171,ain't,"['am not : are not : is not', 'have not : has not']",[],[],[],[]
